title,content,author,date,location,url
5 món ăn uống giúp hạ men gan tự nhiên,"Các loại rau lá xanh như bina, cải rổ, rau mù tạt, cải xoăn, cải Thụy Sĩ, rau diếp, cần tây… có hàm lượng vitamin, khoáng chất và các chất dinh dưỡng khác cao. Chúng còn giảm mức độ tích tụ chất béo trong gan, nhờ đó hạ men gan. 
Các loại rau lá xanh như bina, cải rổ, rau mù tạt, cải xoăn, cải Thụy Sĩ, rau diếp, cần tây… có hàm lượng vitamin, khoáng chất và các chất dinh dưỡng khác cao. Chúng còn giảm mức độ tích tụ chất béo trong gan, nhờ đó hạ men gan. 
 Các loại rau họ cải được biết đến với hàm lượng chất xơ cao cao cùng hương vị đặc biệt. Chúng cũng giàu các hợp chất thực vật có lợi, góp phần tăng cường quá trình giải độc và bảo vệ gan chống lại các tổn thương. Rau họ cải gồm bông cải xanh, cải brussels, súp lơ trắng, cải xoong…
 Các loại rau họ cải được biết đến với hàm lượng chất xơ cao cao cùng hương vị đặc biệt. Chúng cũng giàu các hợp chất thực vật có lợi, góp phần tăng cường quá trình giải độc và bảo vệ gan chống lại các tổn thương. Rau họ cải gồm bông cải xanh, cải brussels, súp lơ trắng, cải xoong…
Loại củ này chứa nhiều flavonoid, chất chống oxy hóa hỗ trợ chức năng gan. Ngoài món canh, súp hay củ dền luộc, nước ép củ dền cũng rất tốt cho sức khỏe gan. Nó giàu nitrat và chất chống oxy hóa khác gọi là betalain. Hai loại chất này có thể giúp giảm tổn thương oxy hóa và viêm gan. 
Loại củ này chứa nhiều flavonoid, chất chống oxy hóa hỗ trợ chức năng gan. Ngoài món canh, súp hay củ dền luộc, nước ép củ dền cũng rất tốt cho sức khỏe gan. Nó giàu nitrat và chất chống oxy hóa khác gọi là betalain. Hai loại chất này có thể giúp giảm tổn thương oxy hóa và viêm gan. 
 Chức năng quan trọng của gan là sản xuất và loại bỏ cholesterol trong cơ thể. Chất xơ có trong đậu xanh, đậu lăng, đậu đen, đậu gà hỗ trợ cơ thể hấp thụ ít cholesterol, nhờ đó giảm quá tải cho gan, tăng cường sức khỏe và 
. 
Chất xơ cũng làm tăng bài tiết mật trong gan, cải thiện quá trình tiêu hóa chất béo và góp phần ngăn ngừa bệnh ở cơ quan này.
 Chức năng quan trọng của gan là sản xuất và loại bỏ cholesterol trong cơ thể. Chất xơ có trong đậu xanh, đậu lăng, đậu đen, đậu gà hỗ trợ cơ thể hấp thụ ít cholesterol, nhờ đó giảm quá tải cho gan, tăng cường sức khỏe và 
. 
Chất xơ cũng làm tăng bài tiết mật trong gan, cải thiện quá trình tiêu hóa chất béo và góp phần ngăn ngừa bệnh ở cơ quan này.
 C giúp sửa chữa mô và chữa lành vết thương. Ăn trái cây họ cam quýt hoặc uống nước ép giúp gan hồi phục, đưa men gan trở lại mức bình thường. Bưởi là loại trái cây có múi khác hỗ trợ tăng cường chất chống oxy hóa như naringin và naringenin, có khả năng chống viêm, bảo vệ gan khỏi vi khuẩn.
 C giúp sửa chữa mô và chữa lành vết thương. Ăn trái cây họ cam quýt hoặc uống nước ép giúp gan hồi phục, đưa men gan trở lại mức bình thường. Bưởi là loại trái cây có múi khác hỗ trợ tăng cường chất chống oxy hóa như naringin và naringenin, có khả năng chống viêm, bảo vệ gan khỏi vi khuẩn.",Bảo Bảo,"Thứ ba, 20/8/2024, 08:00 (GMT+7)",,https://vnexpress.net/5-mon-an-uong-giup-ha-men-gan-tu-nhien-4783142.html
Những điều nên làm để bảo vệ gan ,"Bệnh gan rất phổ biến nhưng dấu hiệu tổn thương ở giai đoạn đầu thường không rõ ràng. Người bệnh thường phát hiện muộn với các biến chứng nặng, không thể điều trị dứt điểm.
Thạc sĩ, bác sĩ Huỳnh Hoài Phương, Trung tâm Nội soi và Phẫu thuật Nội soi Tiêu hóa, Bệnh viện Đa khoa Tâm Anh TP HCM, cho biết gan có thể tái tạo hoàn toàn nếu tổn thương dưới 25%. Tổn thương lớn hơn vẫn có khả năng tái tạo nhưng không được như ban đầu. Xây dựng lối sống sinh hoạt lành mạnh có vai trò quan trọng, giúp gan hoạt động ổn định. Bác sĩ Phương gợi ý một số cách bảo vệ gan dưới đây.
 Người bị thừa cân, béo phì có nguy cơ cao mắc các bệnh lý gan do chuyển hóa còn gọi là bệnh gan nhiễm mỡ không do rượu (Non Alcoholic Fatty Liver Disease - NAFLD). Theo các hướng dẫn điều trị và dự phòng bệnh gan nhiễm mỡ không do rượu của các hiệp hội về gan trên thế giới, giảm cân góp phần giảm lượng mỡ tích tụ, giúp cải thiện tình trạng viêm gan và xơ hóa gan.
 Các nhóm dưỡng chất cần thiết cần cân đối bao gồm tinh bột, chất đạm, chất béo, nhóm vitamin và khoáng chất. Hạn chế ăn thức ăn giàu năng lượng, chứa chất béo bão hòa, các loại carbohydrat đã qua chế biến (bánh mì trắng, gạo trắng...), thức ăn nhiều đường. Thay vào đó, tăng cường chất xơ từ hoa quả tươi, rau xanh, ngũ cốc nguyên cám. Uống nhiều nước để đảm bảo cung cấp đủ nước cho các hoạt động chuyển hóa và đào thải chất cặn bã của cơ thể.
Bác sĩ Hoài Phương xem hồ sơ của một bệnh nhân. Ảnh: 
: Duy trì bài tập nhịp điều nhẹ nhàng 30-60 phút mỗi ngày trong ít nhất 5 ngày mỗi tuần. Hoặc kết hợp các bài tập cường độ mạnh 20-30 phút mỗi ngày và 2-3 ngày trong một tuần. Vận động góp phần giảm mỡ tích tụ, thúc đẩy nhu động ruột, tăng mức năng lượng, giảm căng thẳng cho gan.
: Gan đảm nhận chức năng chuyển hóa và thải trừ các chất ngoại lai khỏi cơ thể. Các chất độc hại như aflatoxin (độc tố do vi nấm aspergillus sản sinh ra) có thể gây tổn thương cho tế bào gan. Thực phẩm bị nấm mốc, nhất là ngũ cốc cần loại bỏ, ngay cả khi chế biến ở nhiệt độ cao vì aflatoxin vẫn có thể gây hại cho gan.
: Các bệnh lý ở gan có liên quan đến lạm dụng rượu có thể kể đến như 
, suy gan cấp, xơ gan do rượu bia. Uống nhiều rượu trong thời gian dài còn có nguy cơ biến chứng nghiêm trọng như xuất huyết tiêu hóa do vỡ giãn tĩnh mạch thực quản, cổ trướng, bệnh lý não gan, ung thư gan...
 Dùng chung bơm kim tiêm, dụng cụ tiêm truyền tiềm ẩn nguy cơ lây nhiễm các tác nhân gây bệnh lây qua đường máu, trong đó có các loại virus viêm gan như virus viêm gan B, virus viêm gan C... Đây là nguyên nhân hàng đầu gây xơ gan, ung thư gan.
Các đồ dùng vệ sinh cá nhân có thể dính máu trong quá trình sử dụng, tăng khả năng lây nhiễm chéo các mầm bệnh qua đường máu. Người có tiếp xúc với máu người khác nghi ngờ nhiễm bện nên đến bác sĩ khám để có biện pháp kiểm soát các tác nhân lây bệnh qua đường máu và virus viêm gan B, C.
 Virus viêm gan B, virus viêm gan C có thể lây truyền qua đường tình dục khi dịch tiết sinh dục của người mang virus xâm nhập vào cơ thể người chưa bị nhiễm. Biện pháp bảo vệ cơ thể an toàn khi quan hệ như dùng bao cao su, chung thủy một vợ một chồng.
 Virus viêm gan A có thể lây qua đường ăn uống. Đảm bảo vệ sinh an toàn thực phẩm và vệ sinh tay thường xuyên là biện pháp phòng tránh lây nhiễm hiệu quả.
 Phần lớn thuốc đều được chuyển hóa qua gan. Dùng thuốc không đúng hướng dẫn sử dụng (quá liều, phối hợp sai thuốc...) có thể gây viêm hoại tử tế bào gan ở các mức độ khác nhau.
Bất cứ loại thuốc nào khi sử dụng cũng cần được bác sĩ tư vấn liều lượng, khả năng tương tác với các thuốc khác. Trong quá trình dùng thuốc, người bệnh cảm thấy bất thường, cần liên hệ với bác sĩ hoặc đến các cơ sở y tế gần nhất để kiểm tra.
 Hiện, chỉ có vaccine cho virus viêm gan A, B và chưa có vaccine cho 
. Tiêm chủng đúng lịch góp phần giảm nguy cơ nhiễm virus viêm gan B, bảo vệ cơ thể.
Nhiều người mắc bệnh trong nhiều năm mà không biết. Khi phát hiện, bệnh thường đã tiến triển đến giai đoạn muộn. Khám sức khỏe định kỳ góp phần phát hiện bệnh sớm, kịp thời điều trị.",Thảo Nhi,"Thứ hai, 19/8/2024, 16:00 (GMT+7)",,https://vnexpress.net/nhung-dieu-nen-lam-de-bao-ve-gan-4783185.html
Hàng chục polyp bám như thạch nhũ trong túi mật ,"Kết quả siêu âm tại Bệnh viện Đa khoa Tâm Anh TP HCM cho thấy nhiều polyp trên thành túi mật, trong đó kích thước lớn nhất khoảng 1 cm. Ngày 14/8, tiến sĩ, bác sĩ Phạm Công Khánh, Trưởng khoa Gan - Mật - Tụy, Trung tâm Nội soi và Phẫu thuật Nội soi Tiêu hóa, cho biết bà Hồng bị đa polyp túi mật.
Polyp túi mật có nhiều loại như polyp cholesterol, u cơ tuyến túi mật, polyp viêm, polyp phì đại thể cơ tuyến, khoảng 95% lành tính. Trong đó, polyp cholesterol chiếm đa số khoảng 40-70%, hình thành do lắng đọng của cholesterol bám vào niêm mạc túi mật.
""Polyp nhiều, lan rộng và kèm sỏi như bệnh nhân này có nguy cơ cao tiến triển thành ác tính"", bác sĩ Khánh nói. Người bệnh cần được phẫu thuật sớm, phòng biến chứng nguy hiểm như ứ trệ dịch mật, rối loạn tiêu hóa, viêm túi mật, viêm đường mật, ung thư túi mật. Loại ung thư này có tiên lượng xấu vì tỷ lệ sống sót sau 5 năm thấp.
Bà Hồng được phẫu thuật nội soi 
. Sau gây mê nội khí quản, bác sĩ đưa dụng cụ nội soi vào bụng với ba lỗ nhỏ, cắt túi mật. Túi mật lấy ra có vách mỏng, lòng túi chứa nhiều polyp với nhiều kích thước khác nhau. Hậu phẫu, người bệnh không đau, đi lại, ăn uống tốt, xuất viện sau một ngày. Kết quả giải phẫu ghi nhận polyp cholesterol lành tính.
Bác sĩ Khánh (bên trái) trong một ca phẫu thuật nội soi. Ảnh: 
Nguyên nhân gây polyp túi mật đến nay vẫn chưa xác định chính xác. Một số yếu tố làm tăng nguy cơ như người trên 50 tuổi, người bệnh tiểu đường, kích thước polyp tăng bất thường, mắc bệnh sỏi mật. Phần lớn 
 thường không có triệu chứng, chỉ phát hiện tình cờ khi khám sức khỏe định kỳ, siêu âm, chụp MRI, CT bụng. Trong đó, siêu âm là kỹ thuật không xâm lấn, thực hiện nhanh chóng, không đau, an toàn với độ nhạy và độ đặc hiệu tốt đối với polyp túi mật.
Thông thường, polyp túi mật có kích thước dưới 1 cm sẽ không thay đổi sau nhiều năm, người bệnh chỉ cần tái khám theo dõi định kỳ. Phẫu thuật cắt bỏ polyp được chỉ định trong trường hợp kích thước từ 1 cm trở lên hoặc polyp không cuống từ 0,6 cm trở lên hoặc polyp từ 0,6 cm trở lên ở người từ 50 tuổi.
Bác sĩ Khánh khuyến nghị sống lành mạnh để ngăn ngừa tối đa hình thành polyp túi mật. Khám sức khỏe định kỳ mỗi năm một lần hoặc khi có triệu chứng bất thường. Phát hiện bệnh sớm polyp túi mật giúp theo dõi và có hướng điều trị phù hợp, phòng biến chứng nguy hiểm.",Quyên Phan,"Thứ tư, 14/8/2024, 10:00 (GMT+7)",TP HCM,https://vnexpress.net/hang-chuc-polyp-bam-nhu-thach-nhu-trong-tui-mat-4781230.html
4 nhóm thực phẩm tốt cho người viêm tụy ,"Các enzyme tiêu hóa di chuyển từ tuyến tụy đến ruột non thông qua ống tụy. Nếu enzyme tích tụ trong tuyến tụy gây kích ứng mô tụy dẫn đến viêm tụy, chảy máu và tổn thương tuyến tụy. Khi tuyến tụy bị viêm, cơ thể không thể sản xuất đủ enzyme tiêu hóa giúp hấp thụ chất dinh dưỡng từ thực phẩm. Theo thời gian, người bệnh có thể bị suy dinh dưỡng hoặc bắt đầu sụt cân.
Tiến sĩ, bác sĩ Vũ Trường Khanh, Trưởng khoa Tiêu hóa, Bệnh viện Đa khoa Tâm Anh Hà Nội, cho biết chế độ dinh dưỡng lành mạnh có thể làm dịu cơn đau do viêm tụy. Lựa chọn thực phẩm phù hợp góp phần giảm gánh nặng cho tuyến tụy, giúp cơ quan này nghỉ ngơi và nhanh phục hồi. Bác sĩ Khanh khuyến cáo người bệnh viêm tụy nên ưu tiên các thực phẩm dưới đây.
Rau lá sẫm màu, quả mọng đỏ, khoai lang, nho, cà rốt... giàu chất chống oxy hóa có thể chống lại các gốc tự do trong cơ thể, giúp hồi phục sau viêm tụy cấp. Rau củ quả còn chứa nhiều vitamin và khoáng chất cần thiết, góp phần cải thiện hệ tiêu hóa, giảm táo bón. Chúng ít cholesterol, giàu chất xơ, giảm nguy cơ phát triển sỏi mật hoặc triglyceride cao - yếu tố gây viêm tụy cấp.
Quả mọng tốt cho sức khỏe tiêu hóa. Ảnh: 
Đậu và các loại ngũ cốc dồi dào chất xơ tốt cho đường ruột. Ngũ cốc chứa protein thực vật có lợi, ít chất béo bão hòa, hỗ trợ giảm gánh nặng cho tuyến tụy. Người bệnh nên ngâm và nấu chín kỹ đậu, tránh thêm nhiều dầu mỡ và gia vị. Ăn một lượng nhỏ, từ từ giúp cơ thể thích ứng dần, tiêu hóa ổn định.
Thịt gà bỏ da dễ tiêu hóa, nhiều chất dinh dưỡng, ít chất béo, có thể giúp người 
 đáp ứng nhu cầu protein của cơ thể. Một số loại cá ít chất béo như cá hồi, cá trích góp phần giảm tích tụ mỡ, ngăn ngừa viêm tụy.
Tuyến tụy xử lý hầu hết chất béo mà cơ thể nạp vào. Ăn nhiều chất béo, tuyến tụy càng phải làm việc nhiều hơn. Thực phẩm nhiều chất béo và đường đơn làm tăng mức triglyceride, tăng chất béo trong máu, giảm nguy cơ cao viêm tụy cấp.
Chất béo kích thích mạnh nhất đối với quá trình tiết dịch tụy. Chế độ ăn ít chất béo làm giải phóng cholecystokinin (loại hormone truyền tín hiệu), giúp giảm co bóp túi mật (chứa mật để nhũ hóa chất béo), giảm tình trạng chậm làm rỗng 
. Từ đó, chúng góp phần kiểm soát triệu chứng như đau, buồn nôn, nôn... ở người bệnh viêm tụy. Người bệnh không nên ăn nhiều chất béo ngay cả là chất béo không bão hòa có trong thực vật như dầu ô liu, quả bơ.
Bên cạnh lựa chọn thực phẩm, người bệnh cần thay đổi chế độ ăn uống như ăn 6-8 bữa nhỏ mỗi ngày, tiêu thụ không quá 30 g chất béo một ngày, loại bỏ chất béo bão hòa. Tránh uống rượu, hút thuốc, uống khoảng hai lít nước mỗi ngày để cung cấp đủ nước cho cơ thể. Hạn chế thức ăn cay, nhiều gia vị, chất béo, đường... để giảm gánh nặng cho hệ tiêu hóa.
Tiến sĩ Khanh lưu ý người bệnh viêm tụy có thể tái phát nếu không ăn uống, điều chỉnh chế độ sinh hoạt khoa học. Khi có các triệu chứng nghi ngờ như đau bụng, đầy hơi, khó tiêu, vàng da, người bệnh nên đi khám để điều trị kịp thời. Bác sĩ chuyên khoa tiêu hóa thường chỉ định một số xét nghiệm máu, chẩn đoán hình ảnh (chụp cắt lớp vi tính, cộng hưởng từ)... giúp phát hiện bệnh và điều trị phù hợp.",Rau củ quả,"Thứ sáu, 16/8/2024, 17:00 (GMT+7)",,https://vnexpress.net/4-nhom-thuc-pham-tot-cho-nguoi-viem-tuy-4782239.html
Nổi mề đay có phải dấu hiệu suy giảm chức năng gan? ," (Theo 
)",Anh Chi,"Thứ tư, 14/8/2024, 11:30 (GMT+7)",,https://vnexpress.net/noi-me-day-co-phai-dau-hieu-suy-giam-chuc-nang-gan-4781330.html
Vitamin nào tốt cho gan? ,"(Theo 
)",Bảo Bảo ,"Chủ nhật, 11/8/2024, 12:00 (GMT+7)",,https://vnexpress.net/vitamin-nao-tot-cho-gan-4780108.html
Nổi mề đay có phải dấu hiệu suy giảm chức năng gan? ," (Theo 
)",Anh Chi,"Thứ tư, 14/8/2024, 11:30 (GMT+7)",,https://vnexpress.net/noi-me-day-co-phai-dau-hieu-suy-giam-chuc-nang-gan-4781330.html
Lợi ích của đậu nành với gan ,"Thạc sĩ, bác sĩ Đoàn Vĩnh Bình, Trung tâm Thông tin Y khoa, Bệnh viện Đa khoa Tâm Anh TP HCM, cho biết một cốc (172 g) đậu nành luộc có khoảng 31 g protein. Lượng protein này góp phần lớn trong hoạt động của các enzyme và chuyển hóa lipid. Các vitamin, chất khoáng, hợp chất sinh học khác trong đậu nành cũng hỗ trợ giải độc, tăng cường chức năng hoạt động của gan.
Các loại protein chính trong đậu nành là glycinin, conglycinin, chiếm khoảng 80% tổng hàm lượng. Hai protein này tham gia vào quá trình chuyển hóa lipid, cung cấp các axit amin thiết yếu, hỗ trợ quá trình tái tạo, phục hồi tế bào gan, từ đó cải thiện chức năng gan.
 nhờ hợp chất isoflavone có nhiều trong đậu nành. Isoflavone có tác dụng chống oxy hóa mạnh, giảm stress oxy hóa gây tổn thương tế bào gan. Isoflavones còn có khả năng điều chỉnh quá trình chết tế bào theo chương trình (apoptosis), 
 khỏi các yếu tố gây hại.
nhờ vào lecithin được tìm thấy trong đậu nành. Hoạt chất này có tác dụng cải thiện quá trình tích lũy và chuyển hóa chất béo trong gan bằng cách tăng tổng hợp các lipoprotein giúp vận chuyển chất béo, từ đó làm giảm tích tụ mỡ ở gan. Bổ sung lecithin từ đậu nành còn làm giảm cholesterol toàn phần, giảm triglyceride, đồng thời tăng cholesterol tốt. Hợp chất này giúp thúc đẩy quá trình tái tạo màng tế bào, ngăn ngừa quá trình xơ hóa gan, cải thiện chức năng chuyển hóa của gan.
, góp phần bảo vệ tế bào gan khỏi các tác nhân gây hại như carbon tetrachloride nhờ hợp chất saponin có trong đậu nành. Saponin cũng có tác dụng chống oxy hóa và ức chế các chất độc như acetaldehyde, có nhiều sau khi uống rượu bia. Đây là chất gây viêm, tổn thương các tế bào gan, dẫn đến xơ gan.
 là vai trò của các vitamin E, K, B6 trong đậu nành. Vitamin E bảo vệ tế bào gan khỏi sự tổn thương do stress oxy hóa. Trong khi đó, vitamin K, B6 tham gia vào các quá trình sản xuất yếu tố đông máu, sản xuất mật, chuyển hóa protein và amino axit để duy trì chức năng của cơ quan này.
Bác sĩ Bình cho biết để có 
, mỗi người cần tuân thủ các nguyên tắc sống khoa học, hạn chế uống rượu và không hút thuốc. Duy trì chế độ ăn uống cân bằng, giàu rau củ quả và đạm. Thường xuyên luyện tập thể dục, khám sức khỏe định kỳ giúp giảm nguy cơ mắc bệnh. Tăng cường bổ sung các loại hoạt chất chiết xuất từ thảo dược thiên nhiên góp phần tăng cường chức năng gan. Những tinh chất chiết xuất từ wasabia và s.marianum thiên nhiên hỗ trợ kiểm soát tế bào kupffer tăng cường khả năng chống độc, giải độc gan.",Đình Diệu,"Thứ tư, 7/8/2024, 12:00 (GMT+7)",,https://vnexpress.net/loi-ich-cua-dau-nanh-voi-gan-4778700.html
Những điều nên làm để bảo vệ gan ,"Bệnh gan rất phổ biến nhưng dấu hiệu tổn thương ở giai đoạn đầu thường không rõ ràng. Người bệnh thường phát hiện muộn với các biến chứng nặng, không thể điều trị dứt điểm.
Thạc sĩ, bác sĩ Huỳnh Hoài Phương, Trung tâm Nội soi và Phẫu thuật Nội soi Tiêu hóa, Bệnh viện Đa khoa Tâm Anh TP HCM, cho biết gan có thể tái tạo hoàn toàn nếu tổn thương dưới 25%. Tổn thương lớn hơn vẫn có khả năng tái tạo nhưng không được như ban đầu. Xây dựng lối sống sinh hoạt lành mạnh có vai trò quan trọng, giúp gan hoạt động ổn định. Bác sĩ Phương gợi ý một số cách bảo vệ gan dưới đây.
 Người bị thừa cân, béo phì có nguy cơ cao mắc các bệnh lý gan do chuyển hóa còn gọi là bệnh gan nhiễm mỡ không do rượu (Non Alcoholic Fatty Liver Disease - NAFLD). Theo các hướng dẫn điều trị và dự phòng bệnh gan nhiễm mỡ không do rượu của các hiệp hội về gan trên thế giới, giảm cân góp phần giảm lượng mỡ tích tụ, giúp cải thiện tình trạng viêm gan và xơ hóa gan.
 Các nhóm dưỡng chất cần thiết cần cân đối bao gồm tinh bột, chất đạm, chất béo, nhóm vitamin và khoáng chất. Hạn chế ăn thức ăn giàu năng lượng, chứa chất béo bão hòa, các loại carbohydrat đã qua chế biến (bánh mì trắng, gạo trắng...), thức ăn nhiều đường. Thay vào đó, tăng cường chất xơ từ hoa quả tươi, rau xanh, ngũ cốc nguyên cám. Uống nhiều nước để đảm bảo cung cấp đủ nước cho các hoạt động chuyển hóa và đào thải chất cặn bã của cơ thể.
Bác sĩ Hoài Phương xem hồ sơ của một bệnh nhân. Ảnh: 
: Duy trì bài tập nhịp điều nhẹ nhàng 30-60 phút mỗi ngày trong ít nhất 5 ngày mỗi tuần. Hoặc kết hợp các bài tập cường độ mạnh 20-30 phút mỗi ngày và 2-3 ngày trong một tuần. Vận động góp phần giảm mỡ tích tụ, thúc đẩy nhu động ruột, tăng mức năng lượng, giảm căng thẳng cho gan.
: Gan đảm nhận chức năng chuyển hóa và thải trừ các chất ngoại lai khỏi cơ thể. Các chất độc hại như aflatoxin (độc tố do vi nấm aspergillus sản sinh ra) có thể gây tổn thương cho tế bào gan. Thực phẩm bị nấm mốc, nhất là ngũ cốc cần loại bỏ, ngay cả khi chế biến ở nhiệt độ cao vì aflatoxin vẫn có thể gây hại cho gan.
: Các bệnh lý ở gan có liên quan đến lạm dụng rượu có thể kể đến như 
, suy gan cấp, xơ gan do rượu bia. Uống nhiều rượu trong thời gian dài còn có nguy cơ biến chứng nghiêm trọng như xuất huyết tiêu hóa do vỡ giãn tĩnh mạch thực quản, cổ trướng, bệnh lý não gan, ung thư gan...
 Dùng chung bơm kim tiêm, dụng cụ tiêm truyền tiềm ẩn nguy cơ lây nhiễm các tác nhân gây bệnh lây qua đường máu, trong đó có các loại virus viêm gan như virus viêm gan B, virus viêm gan C... Đây là nguyên nhân hàng đầu gây xơ gan, ung thư gan.
Các đồ dùng vệ sinh cá nhân có thể dính máu trong quá trình sử dụng, tăng khả năng lây nhiễm chéo các mầm bệnh qua đường máu. Người có tiếp xúc với máu người khác nghi ngờ nhiễm bện nên đến bác sĩ khám để có biện pháp kiểm soát các tác nhân lây bệnh qua đường máu và virus viêm gan B, C.
 Virus viêm gan B, virus viêm gan C có thể lây truyền qua đường tình dục khi dịch tiết sinh dục của người mang virus xâm nhập vào cơ thể người chưa bị nhiễm. Biện pháp bảo vệ cơ thể an toàn khi quan hệ như dùng bao cao su, chung thủy một vợ một chồng.
 Virus viêm gan A có thể lây qua đường ăn uống. Đảm bảo vệ sinh an toàn thực phẩm và vệ sinh tay thường xuyên là biện pháp phòng tránh lây nhiễm hiệu quả.
 Phần lớn thuốc đều được chuyển hóa qua gan. Dùng thuốc không đúng hướng dẫn sử dụng (quá liều, phối hợp sai thuốc...) có thể gây viêm hoại tử tế bào gan ở các mức độ khác nhau.
Bất cứ loại thuốc nào khi sử dụng cũng cần được bác sĩ tư vấn liều lượng, khả năng tương tác với các thuốc khác. Trong quá trình dùng thuốc, người bệnh cảm thấy bất thường, cần liên hệ với bác sĩ hoặc đến các cơ sở y tế gần nhất để kiểm tra.
 Hiện, chỉ có vaccine cho virus viêm gan A, B và chưa có vaccine cho 
. Tiêm chủng đúng lịch góp phần giảm nguy cơ nhiễm virus viêm gan B, bảo vệ cơ thể.
Nhiều người mắc bệnh trong nhiều năm mà không biết. Khi phát hiện, bệnh thường đã tiến triển đến giai đoạn muộn. Khám sức khỏe định kỳ góp phần phát hiện bệnh sớm, kịp thời điều trị.",Thảo Nhi,"Thứ hai, 19/8/2024, 16:00 (GMT+7)",,https://vnexpress.net/nhung-dieu-nen-lam-de-bao-ve-gan-4783185.html
Lợi ích của đậu nành với gan ,"Thạc sĩ, bác sĩ Đoàn Vĩnh Bình, Trung tâm Thông tin Y khoa, Bệnh viện Đa khoa Tâm Anh TP HCM, cho biết một cốc (172 g) đậu nành luộc có khoảng 31 g protein. Lượng protein này góp phần lớn trong hoạt động của các enzyme và chuyển hóa lipid. Các vitamin, chất khoáng, hợp chất sinh học khác trong đậu nành cũng hỗ trợ giải độc, tăng cường chức năng hoạt động của gan.
Các loại protein chính trong đậu nành là glycinin, conglycinin, chiếm khoảng 80% tổng hàm lượng. Hai protein này tham gia vào quá trình chuyển hóa lipid, cung cấp các axit amin thiết yếu, hỗ trợ quá trình tái tạo, phục hồi tế bào gan, từ đó cải thiện chức năng gan.
 nhờ hợp chất isoflavone có nhiều trong đậu nành. Isoflavone có tác dụng chống oxy hóa mạnh, giảm stress oxy hóa gây tổn thương tế bào gan. Isoflavones còn có khả năng điều chỉnh quá trình chết tế bào theo chương trình (apoptosis), 
 khỏi các yếu tố gây hại.
nhờ vào lecithin được tìm thấy trong đậu nành. Hoạt chất này có tác dụng cải thiện quá trình tích lũy và chuyển hóa chất béo trong gan bằng cách tăng tổng hợp các lipoprotein giúp vận chuyển chất béo, từ đó làm giảm tích tụ mỡ ở gan. Bổ sung lecithin từ đậu nành còn làm giảm cholesterol toàn phần, giảm triglyceride, đồng thời tăng cholesterol tốt. Hợp chất này giúp thúc đẩy quá trình tái tạo màng tế bào, ngăn ngừa quá trình xơ hóa gan, cải thiện chức năng chuyển hóa của gan.
, góp phần bảo vệ tế bào gan khỏi các tác nhân gây hại như carbon tetrachloride nhờ hợp chất saponin có trong đậu nành. Saponin cũng có tác dụng chống oxy hóa và ức chế các chất độc như acetaldehyde, có nhiều sau khi uống rượu bia. Đây là chất gây viêm, tổn thương các tế bào gan, dẫn đến xơ gan.
 là vai trò của các vitamin E, K, B6 trong đậu nành. Vitamin E bảo vệ tế bào gan khỏi sự tổn thương do stress oxy hóa. Trong khi đó, vitamin K, B6 tham gia vào các quá trình sản xuất yếu tố đông máu, sản xuất mật, chuyển hóa protein và amino axit để duy trì chức năng của cơ quan này.
Bác sĩ Bình cho biết để có 
, mỗi người cần tuân thủ các nguyên tắc sống khoa học, hạn chế uống rượu và không hút thuốc. Duy trì chế độ ăn uống cân bằng, giàu rau củ quả và đạm. Thường xuyên luyện tập thể dục, khám sức khỏe định kỳ giúp giảm nguy cơ mắc bệnh. Tăng cường bổ sung các loại hoạt chất chiết xuất từ thảo dược thiên nhiên góp phần tăng cường chức năng gan. Những tinh chất chiết xuất từ wasabia và s.marianum thiên nhiên hỗ trợ kiểm soát tế bào kupffer tăng cường khả năng chống độc, giải độc gan.",Đình Diệu,"Thứ tư, 7/8/2024, 12:00 (GMT+7)",,https://vnexpress.net/loi-ich-cua-dau-nanh-voi-gan-4778700.html
